Anio   2019 Mes:  01
21/10/2019  47528229         SAAVEDRA GONZALES WILMER                            158
23/10/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      165
23/10/2019  52002275         CASANOVA ZEGARRA MARITZA                            154
23/10/2019  67185679         FLORENCIO CORONADO ALONSO                           135
24/10/2019  73972114         AVILA MARTEL JAIME MANUEL                           144
25/10/2019  84186239         RIVERO CORONADO HECTOR ALONSO                       158
26/10/2019  80310768         MINAYA BERROCAL HELI                                341
27/10/2019  85501710         VIZCARDO SINCHE MARIBEL                             112
27/10/2019  39544560         LUNA VARGAS WALDEMAR                                127
27/10/2019  16477908         BACA CAMACHO MILAGROS NATALIA                       104
27/10/2019  48878256         RAFFO CORONADO ROLANDO                              118
28/10/2019  31205866         VIZCARRA MONTERO JAIR                               129
29/10/2019  85501710         VIZCARDO SINCHE MARIBEL                             203
29/10/2019  87282766         SUAREZ CHANG GLORIA                                 154
29/10/2019  54447051         AVILA DEL CASTILLO ANNIE                            105
31/10/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      122
31/10/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           165
31/10/2019  50200823         LEYVA SAM DIANA DELIA                               139

Anio   2019 Mes:  11
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/11/2019  50200823         LEYVA SAM DIANA DELIA                               114
02/11/2019  63736112         ZAMORA ZAVALETA RONAL MANUEL                        147
02/11/2019  28820944         RIOS ZAMORA INES                                    131
02/11/2019  74325123         TANG MOSCOSO JOHANA                                 306
02/11/2019  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                149
04/11/2019  71578206         ARROYO TOMASICHE NATALIA                            111
04/11/2019  15115705         HERNANDEZ CORRALES GUILLERMO                        163
04/11/2019  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     147
05/11/2019  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     325
06/11/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       123
07/11/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       316
07/11/2019  19963454         SALAMANCA CABRERA NESTOR EVERT                      315
08/11/2019  81528434         EPIQUEN AVILA ENRIQUE                               133
12/11/2019  96693273         VALDERRAMA BERROCAL EVERT                           142
12/11/2019  80457845         NORABUENA MOYA HECTOR                               323
12/11/2019  77763722         FARFAN SALAZAR MARGOT                               337
13/11/2019  68303148         PATINO BOLANOS DELICIA VIRGINIA                     160
14/11/2019  69252518         GORDILLO SANCHEZ RONALD JUVENAL                     142
16/11/2019  47528229         SAAVEDRA GONZALES WILMER                            330
16/11/2019  51929951         CHAVEZ BERROCAL JOHAN                               149
17/11/2019  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      160
17/11/2019  16925690         CABRERA TORO FANNY                                  166
18/11/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       335
19/11/2019  27185429         SOLIS CHUNG ROLANDO                                 151
19/11/2019  79641328         TOKESHI GUEVARA JAIME                               148
20/11/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       155
21/11/2019  19963454         SALAMANCA CABRERA NESTOR EVERT                      111
22/11/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               101
22/11/2019  77763722         FARFAN SALAZAR MARGOT                               324
23/11/2019  27185429         SOLIS CHUNG ROLANDO                                 332
25/11/2019  60784914         RUIZ ZEVALLOS WALTER RONY                           116
26/11/2019  15559308         BRAVO CORTES JANET FLOR                             133
26/11/2019  99950484         CORTES CORTEZ RAUL ALEX                             333
27/11/2019  15559308         BRAVO CORTES JANET FLOR                             164
27/11/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      334
27/11/2019  35671623         EPIQUEN YEP GUIDA VICTORIA                          315
27/11/2019  89314225         RIOS DURAND CARLOS EDILBERTO                        151
29/11/2019  49927087         INGA PALOMARES ERIKA                                137
29/11/2019  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      165

Anio   2019 Mes:  12
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
03/12/2019  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     302
04/12/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       324
05/12/2019  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                127
05/12/2019  47844324         VILCA LEE NESTOR HUGO                               205
06/12/2019  86718074         ESCALANTE ROJAS INES ADRIA                          104
07/12/2019  75945248         MEJIA RODRIGUEZ INES VALENTINA                      307
10/12/2019  80457845         NORABUENA MOYA HECTOR                               133
10/12/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      201
15/12/2019  35912665         MARTINEZ CRUZ EVERT RONY                            155
16/12/2019  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                134
16/12/2019  64532449         INFANTES MERCADO LUIS WALDEMAR                      149
17/12/2019  12270502         CUEVA FUENTES CINTHIA DELIA                         330
17/12/2019  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  201
18/12/2019  54447051         AVILA DEL CASTILLO ANNIE                            132
18/12/2019  16136330         YEP PRECIADO RICHARD                                118
19/12/2019  35912665         MARTINEZ CRUZ EVERT RONY                            136
20/12/2019  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       208
20/12/2019  47528229         SAAVEDRA GONZALES WILMER                            302
21/12/2019  12270502         CUEVA FUENTES CINTHIA DELIA                         104
21/12/2019  87495937         MORALES PASQUEL KARIN MARIBEL                       131
22/12/2019  53853385         SOLIS NARVAEZ MARIA MADELEINE                       146
22/12/2019  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      322
23/12/2019  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               122
25/12/2019  86718074         ESCALANTE ROJAS INES ADRIA                          151
25/12/2019  27864822         FIGUEROA MEDINA MADELEINE                           134
26/12/2019  35671623         EPIQUEN YEP GUIDA VICTORIA                          328
30/12/2019  16477908         BACA CAMACHO MILAGROS NATALIA                       146
31/12/2019  31107104         MOSCOSO ARIAS FIORELLA                              154
31/12/2019  60335381         DIAZ TANG ENRIQUE                                   114
31/12/2019  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         124

Anio   2020 Mes:  01
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/01/2020  58992942         NARVAEZ CASTILLO JESUS RAFAEL                       123
02/01/2020  45043076         VEGA VILCARA CARMELA TERESA                         134
02/01/2020  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     206
03/01/2020  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      305
04/01/2020  88167677         PRADO VERA JUAN                                     128
04/01/2020  79641328         TOKESHI GUEVARA JAIME                               339
06/01/2020  89941095         ARCA LARRIEGA LUCERO YLIANA                         314
06/01/2020  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  320
06/01/2020  73357516         TRIGUEROS JUGO LUZ                                  112
07/01/2020  87495937         MORALES PASQUEL KARIN MARIBEL                       124
08/01/2020  31107104         MOSCOSO ARIAS FIORELLA                              148
08/01/2020  81485316         JUSTINO MARTINEZ ENRIQUE                            324
09/01/2020  87282766         SUAREZ CHANG GLORIA                                 331
10/01/2020  34248357         LEYVA LANDEO NANCY SONIA                            313
10/01/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       307
10/01/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                104
11/01/2020  21621497         AYALA CASTILLO ERICKA OFELIA                        136
11/01/2020  79641328         TOKESHI GUEVARA JAIME                               103
11/01/2020  39544560         LUNA VARGAS WALDEMAR                                313
12/01/2020  49927087         INGA PALOMARES ERIKA                                112
13/01/2020  82870470         SEDANO RETAMOSO ELIA YOLANDA                        103
13/01/2020  13628871         QUIROGA HERNANDEZ SILVANA ZKENIA                    302
15/01/2020  73972114         AVILA MARTEL JAIME MANUEL                           131
15/01/2020  79672079         CONTRERAS CHANG JOHANA CINTHIA                      119
15/01/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       306
16/01/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       150
18/01/2020  27864822         FIGUEROA MEDINA MADELEINE                           158
19/01/2020  71832810         SUELDO SEDANO ADRIA                                 154
19/01/2020  25518120         RONDON CABRERA ALEXANDER ADOLFO                     123
19/01/2020  13628871         QUIROGA HERNANDEZ SILVANA ZKENIA                    142
20/01/2020  54141214         DURAND MIRANDA MIGUEL JUAN                          330
20/01/2020  67185679         FLORENCIO CORONADO ALONSO                           206
21/01/2020  27864822         FIGUEROA MEDINA MADELEINE                           145
21/01/2020  77763722         FARFAN SALAZAR MARGOT                               339
22/01/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                322
22/01/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         305
22/01/2020  81528434         EPIQUEN AVILA ENRIQUE                               150
23/01/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         341
23/01/2020  48878256         RAFFO CORONADO ROLANDO                              115
24/01/2020  19963454         SALAMANCA CABRERA NESTOR EVERT                      314
24/01/2020  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       321
24/01/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         309
25/01/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         105
26/01/2020  36079131         ZAVALETA VILCA ERICKA ELEONOR                       166
26/01/2020  81528434         EPIQUEN AVILA ENRIQUE                               309
26/01/2020  73972114         AVILA MARTEL JAIME MANUEL                           326
27/01/2020  89314225         RIOS DURAND CARLOS EDILBERTO                        164
27/01/2020  97849227         PRADO ESPINOZA MILAGROS                             126
27/01/2020  77763722         FARFAN SALAZAR MARGOT                               309
27/01/2020  32090869         SUELDO ANTEZANO LUIS JESUS                          312
27/01/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           205
29/01/2020  31107104         MOSCOSO ARIAS FIORELLA                              158
29/01/2020  29833157         HIJAR LAM MARTIN                                    134
30/01/2020  19963454         SALAMANCA CABRERA NESTOR EVERT                      307

Anio   2020 Mes:  02
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/02/2020  29833157         HIJAR LAM MARTIN                                    312
02/02/2020  27185429         SOLIS CHUNG ROLANDO                                 125
02/02/2020  75348522         LOZADA FORZANI DELIA                                142
03/02/2020  88167677         PRADO VERA JUAN                                     123
04/02/2020  37080813         FLORIAN VALDERRAMA JOSE                             149
04/02/2020  73357516         TRIGUEROS JUGO LUZ                                  170
04/02/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    328
04/02/2020  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      131
05/02/2020  80457845         NORABUENA MOYA HECTOR                               150
05/02/2020  52002275         CASANOVA ZEGARRA MARITZA                            149
05/02/2020  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               339
05/02/2020  64532449         INFANTES MERCADO LUIS WALDEMAR                      103
05/02/2020  90467829         IPARRAGUIRRE PEREZ NICOLAS                          136
05/02/2020  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       315
06/02/2020  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       125
06/02/2020  88167677         PRADO VERA JUAN                                     310
07/02/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       121
08/02/2020  52002275         CASANOVA ZEGARRA MARITZA                            203
08/02/2020  79641328         TOKESHI GUEVARA JAIME                               315
10/02/2020  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  144
10/02/2020  37080813         FLORIAN VALDERRAMA JOSE                             145
12/02/2020  16925690         CABRERA TORO FANNY                                  128
12/02/2020  88167677         PRADO VERA JUAN                                     338
12/02/2020  80457845         NORABUENA MOYA HECTOR                               104
14/02/2020  16925690         CABRERA TORO FANNY                                  143
14/02/2020  34248357         LEYVA LANDEO NANCY SONIA                            151
15/02/2020  87495937         MORALES PASQUEL KARIN MARIBEL                       155
15/02/2020  73972114         AVILA MARTEL JAIME MANUEL                           133
17/02/2020  71578206         ARROYO TOMASICHE NATALIA                            120
17/02/2020  31205866         VIZCARRA MONTERO JAIR                               166
17/02/2020  79641328         TOKESHI GUEVARA JAIME                               202
18/02/2020  66849703         MERCADO CORONEL ELIA                                139
18/02/2020  74325123         TANG MOSCOSO JOHANA                                 158
19/02/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    154
19/02/2020  58992942         NARVAEZ CASTILLO JESUS RAFAEL                       329
20/02/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                329
20/02/2020  64532449         INFANTES MERCADO LUIS WALDEMAR                      143
21/02/2020  89314225         RIOS DURAND CARLOS EDILBERTO                        341
21/02/2020  34248357         LEYVA LANDEO NANCY SONIA                            112
22/02/2020  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     147
22/02/2020  96693273         VALDERRAMA BERROCAL EVERT                           123
22/02/2020  27864822         FIGUEROA MEDINA MADELEINE                           125
22/02/2020  35671623         EPIQUEN YEP GUIDA VICTORIA                          328
22/02/2020  54665716         GONZALES GAMARRA GIOVANA KARINA                     130
22/02/2020  73972114         AVILA MARTEL JAIME MANUEL                           312
23/02/2020  45043076         VEGA VILCARA CARMELA TERESA                         334
23/02/2020  48528209         ZAVALETA CORONADO FELICITA ELOISA                   153
23/02/2020  77763722         FARFAN SALAZAR MARGOT                               112
24/02/2020  31205866         VIZCARRA MONTERO JAIR                               166
24/02/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           306
24/02/2020  97849227         PRADO ESPINOZA MILAGROS                             311
25/02/2020  66849703         MERCADO CORONEL ELIA                                115
25/02/2020  50200823         LEYVA SAM DIANA DELIA                               306
25/02/2020  85501710         VIZCARDO SINCHE MARIBEL                             157
25/02/2020  19963454         SALAMANCA CABRERA NESTOR EVERT                      131
26/02/2020  70414420         AVILA REYES TATIANA                                 159
26/02/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       104
26/02/2020  24859596         FLORIAN CUBA CHRISTIAN                              101
27/02/2020  27185429         SOLIS CHUNG ROLANDO                                 337
27/02/2020  12858682         ZARATE PEREZ ALEXANDER                              318
28/02/2020  58992942         NARVAEZ CASTILLO JESUS RAFAEL                       102
28/02/2020  67185679         FLORENCIO CORONADO ALONSO                           316
29/02/2020  34248357         LEYVA LANDEO NANCY SONIA                            158

Anio   2020 Mes:  03
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/03/2020  74325123         TANG MOSCOSO JOHANA                                 121
01/03/2020  49428502         RIVERO CORTEZ WILVER ALFONSO                        126
02/03/2020  47528229         SAAVEDRA GONZALES WILMER                            312
02/03/2020  28820944         RIOS ZAMORA INES                                    138
02/03/2020  42956681         POMAJAMBO EGUSQUIZA PAUL                            332
03/03/2020  82870470         SEDANO RETAMOSO ELIA YOLANDA                        143
03/03/2020  48878256         RAFFO CORONADO ROLANDO                              203
04/03/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           117
04/03/2020  63736112         ZAMORA ZAVALETA RONAL MANUEL                        115
04/03/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                208
05/03/2020  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       204
05/03/2020  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     310
06/03/2020  80457845         NORABUENA MOYA HECTOR                               109
06/03/2020  79672079         CONTRERAS CHANG JOHANA CINTHIA                      142
07/03/2020  15559308         BRAVO CORTES JANET FLOR                             133
08/03/2020  27864822         FIGUEROA MEDINA MADELEINE                           125
08/03/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    331
09/03/2020  15559308         BRAVO CORTES JANET FLOR                             309
10/03/2020  67185679         FLORENCIO CORONADO ALONSO                           122
11/03/2020  12858682         ZARATE PEREZ ALEXANDER                              308
11/03/2020  48528209         ZAVALETA CORONADO FELICITA ELOISA                   148
12/03/2020  86718074         ESCALANTE ROJAS INES ADRIA                          102
12/03/2020  73357516         TRIGUEROS JUGO LUZ                                  139
12/03/2020  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     324
12/03/2020  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     317
13/03/2020  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      166
13/03/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         203
14/03/2020  54141214         DURAND MIRANDA MIGUEL JUAN                          104
14/03/2020  49927087         INGA PALOMARES ERIKA                                207
14/03/2020  73357516         TRIGUEROS JUGO LUZ                                  122
15/03/2020  49927087         INGA PALOMARES ERIKA                                208
15/03/2020  67185679         FLORENCIO CORONADO ALONSO                           127
17/03/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    158
17/03/2020  44188994         VILCARA YALLICO MAGALI                              137
17/03/2020  87495937         MORALES PASQUEL KARIN MARIBEL                       158
17/03/2020  77763722         FARFAN SALAZAR MARGOT                               132
17/03/2020  52003695         CARBAJAL SALAS MAGDA ZKENIA                         141
17/03/2020  29833157         HIJAR LAM MARTIN                                    319
18/03/2020  16477908         BACA CAMACHO MILAGROS NATALIA                       123
19/03/2020  13628871         QUIROGA HERNANDEZ SILVANA ZKENIA                    302
19/03/2020  80310768         MINAYA BERROCAL HELI                                319
20/03/2020  50200823         LEYVA SAM DIANA DELIA                               157
20/03/2020  80310768         MINAYA BERROCAL HELI                                163
21/03/2020  13628871         QUIROGA HERNANDEZ SILVANA ZKENIA                    108
23/03/2020  52002275         CASANOVA ZEGARRA MARITZA                            320
24/03/2020  73972114         AVILA MARTEL JAIME MANUEL                           105
25/03/2020  27864822         FIGUEROA MEDINA MADELEINE                           202
25/03/2020  12270502         CUEVA FUENTES CINTHIA DELIA                         332
25/03/2020  77763722         FARFAN SALAZAR MARGOT                               143
26/03/2020  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      148
26/03/2020  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       310
27/03/2020  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     127
28/03/2020  47844324         VILCA LEE NESTOR HUGO                               208
28/03/2020  54141214         DURAND MIRANDA MIGUEL JUAN                          316
29/03/2020  87495937         MORALES PASQUEL KARIN MARIBEL                       150
29/03/2020  38862473         WONG MAEIREIZO BEATRIZ                              325
29/03/2020  99950484         CORTES CORTEZ RAUL ALEX                             326
30/03/2020  71832810         SUELDO SEDANO ADRIA                                 160
30/03/2020  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      144
31/03/2020  38862473         WONG MAEIREIZO BEATRIZ                              129

Anio   2020 Mes:  04
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/04/2020  81528434         EPIQUEN AVILA ENRIQUE                               150
02/04/2020  42956681         POMAJAMBO EGUSQUIZA PAUL                            143
02/04/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                302
03/04/2020  35671623         EPIQUEN YEP GUIDA VICTORIA                          161
03/04/2020  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  145
04/04/2020  29833157         HIJAR LAM MARTIN                                    307
04/04/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                206
05/04/2020  31205866         VIZCARRA MONTERO JAIR                               166
05/04/2020  85501710         VIZCARDO SINCHE MARIBEL                             320
06/04/2020  29833157         HIJAR LAM MARTIN                                    157
06/04/2020  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               338
06/04/2020  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      145
07/04/2020  68310808         CANO POLO MILAGROS ISABEL                           114
08/04/2020  82031355         EGUSQUIZA BERROCAL DORIS NANCY                      113
08/04/2020  79641328         TOKESHI GUEVARA JAIME                               204
09/04/2020  88167677         PRADO VERA JUAN                                     118
09/04/2020  49428502         RIVERO CORTEZ WILVER ALFONSO                        125
10/04/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       306
11/04/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       154
11/04/2020  16925690         CABRERA TORO FANNY                                  143
13/04/2020  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      146
13/04/2020  12270502         CUEVA FUENTES CINTHIA DELIA                         150
13/04/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       103
14/04/2020  50200823         LEYVA SAM DIANA DELIA                               315
14/04/2020  12270502         CUEVA FUENTES CINTHIA DELIA                         102
14/04/2020  73567806         ARCA SANCHEZ MAGALI BEATRIZ                         129
15/04/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       338
16/04/2020  13219606         RODRIGUEZ MORENO BLANCA OFELIA                      313
16/04/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    154
17/04/2020  81485316         JUSTINO MARTINEZ ENRIQUE                            319
17/04/2020  75945248         MEJIA RODRIGUEZ INES VALENTINA                      121
17/04/2020  79672079         CONTRERAS CHANG JOHANA CINTHIA                      162
18/04/2020  80457845         NORABUENA MOYA HECTOR                               335
18/04/2020  54141214         DURAND MIRANDA MIGUEL JUAN                          339
19/04/2020  29989682         CAMACHO PAIRAZAMAN YDALI LUCERO                     158
19/04/2020  68303148         PATINO BOLANOS DELICIA VIRGINIA                     156
21/04/2020  63736112         ZAMORA ZAVALETA RONAL MANUEL                        304
21/04/2020  66849703         MERCADO CORONEL ELIA                                124
21/04/2020  67185679         FLORENCIO CORONADO ALONSO                           163
22/04/2020  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     106
22/04/2020  15029228         VALVERDE MAEIREIZO MELVIN JAIR                      328
22/04/2020  12858682         ZARATE PEREZ ALEXANDER                              310
22/04/2020  49927087         INGA PALOMARES ERIKA                                326
24/04/2020  45043076         VEGA VILCARA CARMELA TERESA                         328
26/04/2020  34248357         LEYVA LANDEO NANCY SONIA                            149
26/04/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       207
30/04/2020  67185679         FLORENCIO CORONADO ALONSO                           107
30/04/2020  96693273         VALDERRAMA BERROCAL EVERT                           147

Anio   2020 Mes:  05
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/05/2020  54447051         AVILA DEL CASTILLO ANNIE                            146
01/05/2020  34248357         LEYVA LANDEO NANCY SONIA                            314
01/05/2020  86429854         MOSCOSO LAURA JANET VALENTINA                       333
03/05/2020  21621497         AYALA CASTILLO ERICKA OFELIA                        320
05/05/2020  24859596         FLORIAN CUBA CHRISTIAN                              329
05/05/2020  37080813         FLORIAN VALDERRAMA JOSE                             124
05/05/2020  21621497         AYALA CASTILLO ERICKA OFELIA                        120
06/05/2020  99950484         CORTES CORTEZ RAUL ALEX                             107
07/05/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    139
07/05/2020  30441350         RETAMOSO SALAMANCA DELIA MARITZA                    125
08/05/2020  34976629         LOZADA ARGUEDAS FELICITA VALENTINA                  150
08/05/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                146
08/05/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                310
08/05/2020  34248357         LEYVA LANDEO NANCY SONIA                            314
10/05/2020  73357516         TRIGUEROS JUGO LUZ                                  103
11/05/2020  49927087         INGA PALOMARES ERIKA                                155
11/05/2020  30046639         SALAMANCA VEGA VIRGINIA MARTHA                      154
11/05/2020  87282766         SUAREZ CHANG GLORIA                                 204
12/05/2020  48878256         RAFFO CORONADO ROLANDO                              107
13/05/2020  37080813         FLORIAN VALDERRAMA JOSE                             204
13/05/2020  48450395         RAMIREZ ASTETE KARINA ESTEFANIA                     147
13/05/2020  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               146
14/05/2020  13628871         QUIROGA HERNANDEZ SILVANA ZKENIA                    131
14/05/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                129
14/05/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           309
14/05/2020  29833157         HIJAR LAM MARTIN                                    102
15/05/2020  79766395         FUENTES ESCALANTE PATRICIA ELIZABETH                310
15/05/2020  28820944         RIOS ZAMORA INES                                    329
15/05/2020  60335381         DIAZ TANG ENRIQUE                                   105
16/05/2020  67185679         FLORENCIO CORONADO ALONSO                           109
16/05/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                140
16/05/2020  35683701         DIAZ MOYA ELIA ANNIE                                105
17/05/2020  64532449         INFANTES MERCADO LUIS WALDEMAR                      322
18/05/2020  88167677         PRADO VERA JUAN                                     316
18/05/2020  47528229         SAAVEDRA GONZALES WILMER                            130
19/05/2020  87495937         MORALES PASQUEL KARIN MARIBEL                       160
19/05/2020  73818744         FUENTES GAMARRA HUGO                                332
19/05/2020  39544560         LUNA VARGAS WALDEMAR                                115
20/05/2020  29833157         HIJAR LAM MARTIN                                    159
21/05/2020  88854166         PINTO ROJAS JUVENAL FRANCISCO                       334
21/05/2020  35671623         EPIQUEN YEP GUIDA VICTORIA                          305
22/05/2020  27864822         FIGUEROA MEDINA MADELEINE                           204
22/05/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       110
23/05/2020  54447051         AVILA DEL CASTILLO ANNIE                            124
24/05/2020  64178096         VIZCARRA CARBAJAL IVAN FAUSTO                       132
24/05/2020  32244565         HENRIQUEZ PAREDES PAUL RAFAEL                       101
25/05/2020  99950484         CORTES CORTEZ RAUL ALEX                             338
25/05/2020  88167677         PRADO VERA JUAN                                     160
25/05/2020  34248357         LEYVA LANDEO NANCY SONIA                            319
26/05/2020  48528209         ZAVALETA CORONADO FELICITA ELOISA                   338
26/05/2020  31107104         MOSCOSO ARIAS FIORELLA                              122
26/05/2020  96693273         VALDERRAMA BERROCAL EVERT                           148
26/05/2020  99950484         CORTES CORTEZ RAUL ALEX                             145
27/05/2020  87282766         SUAREZ CHANG GLORIA                                 323
27/05/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           201
30/05/2020  77367073         JAUREGUI DEL CASTILLO VICTOR RICARDO                153
30/05/2020  48878256         RAFFO CORONADO ROLANDO                              328
31/05/2020  54447051         AVILA DEL CASTILLO ANNIE                            341
31/05/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           128

Anio   2020 Mes:  06
FECHA       LICENCIA                      NOMBRE                                FALTA
====================================================================================================
01/06/2020  89941095         ARCA LARRIEGA LUCERO YLIANA                         314
01/06/2020  38862473         WONG MAEIREIZO BEATRIZ                              108
04/06/2020  25518120         RONDON CABRERA ALEXANDER ADOLFO                     337
04/06/2020  88167677         PRADO VERA JUAN                                     149
05/06/2020  54665716         GONZALES GAMARRA GIOVANA KARINA                     151
05/06/2020  29833157         HIJAR LAM MARTIN                                    109
05/06/2020  27185429         SOLIS CHUNG ROLANDO                                 134
06/06/2020  73818744         FUENTES GAMARRA HUGO                                324
06/06/2020  53853385         SOLIS NARVAEZ MARIA MADELEINE                       140
08/06/2020  28820944         RIOS ZAMORA INES                                    104
08/06/2020  37080813         FLORIAN VALDERRAMA JOSE                             312
09/06/2020  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               202
09/06/2020  26522329         SANCHEZ DEL CASTILLO FIORELLA ROSARIO               123
09/06/2020  54141214         DURAND MIRANDA MIGUEL JUAN                          147
10/06/2020  88854166         PINTO ROJAS JUVENAL FRANCISCO                       122
11/06/2020  35912665         MARTINEZ CRUZ EVERT RONY                            335
13/06/2020  47528229         SAAVEDRA GONZALES WILMER                            161
13/06/2020  27185429         SOLIS CHUNG ROLANDO                                 165
13/06/2020  60784914         RUIZ ZEVALLOS WALTER RONY                           309
13/06/2020  16136330         YEP PRECIADO RICHARD                                314
14/06/2020  66849703         MERCADO CORONEL ELIA                                331
15/06/2020  34248357         LEYVA LANDEO NANCY SONIA                            155
15/06/2020  35912665         MARTINEZ CRUZ EVERT RONY                            111
15/06/2020  31107104         MOSCOSO ARIAS FIORELLA                              101
15/06/2020  19963454         SALAMANCA CABRERA NESTOR EVERT                      109
